Word,Sentiment_Score,Frequency
murder,-2,0.69
murders,-2,0.00
needy,-2,0.00
neglected,-2,0.00
nice,3,0.00
no,-1,0.99
ominous,3,0.00
opportunity,2,0.69
oppressed,-2,0.00
optimism,2,0.50
pain,-2,0.50
pay,-1,0.88
peace,2,0.69
peaceful,2,0.00
please,1,0.00
poor,-2,0.00
poorest,-2,0.69
positive,2,0.00
poverty,-1,0.81
powerful,2,0.50
praying,1,0.50
pressure,-1,0.69
prevent,-1,0.50
prison,-2,0.00
problem,-2,0.50
problems,-2,0.00
progress,2,0.69
promise,1,0.69
promised,1,0.69
promises,1,0.69
promote,1,0.00
protect,1,0.97
protects,1,0.00
protest,-2,0.00
proud,2,0.93
proudly,2,0.50
reach,1,0.00
reached,1,0.00
reaching,1,0.00
rebellion,-2,0.00
recession,-2,0.00
reckless,-2,0.50
refused,-2,0.00
remarkable,2,0.00
rescue,2,0.50
rescues,2,0.00
resolve,2,0.00
resolved,2,0.00
restore,1,0.69
restoring,1,0.50
reward,2,0.00
rigged,-1,0.00
risks,-2,0.00
robust,2,0.00
ruin,-2,0.00
safe,1,0.97
safely,1,0.00
safety,1,0.69
save,2,0.93
saved,2,0.81
secures,2,0.00
sentenced,-2,0.00
shameful,-2,0.00
share,1,0.81
shared,1,0.50
slash,-2,0.00
slashed,-2,0.00
slashing,-2,0.00
solution,1,0.50
solve,1,0.00
solved,1,0.00
solving,1,0.00
sorrow,-2,0.00
spirit,1,0.69
stable,2,0.00
starving,-2,0.00
steal,-2,0.00
stop,-1,0.88
stopping,-1,0.00
straight,1,0.00
strength,2,0.88
strengthen,2,0.50
strong,2,0.96
struggle,-2,0.50
struggled,-2,0.00
struggling,-2,0.81
success,2,0.00
successful,3,0.00
support,2,0.96
supported,2,0.50
supporting,1,0.50
survivor,2,0.00
swift,2,0.00
swiftly,2,0.00
terrible,-3,0.93
thank,2,0.98
threat,-2,0.00
threaten,-2,0.69
threatened,-2,0.00
threatens,-2,0.00
threats,-2,0.69
top,2,0.00
tortured,-4,0.50
tragedy,-2,0.00
tragic,-2,0.00
trapped,-2,0.50
trust,1,0.88
ugly,-3,0.00
undermine,-2,0.00
undermined,-2,0.00
unemployment,-2,0.69
unfair,-2,0.00
united,1,0.99
unmatched,1,0.00
victims,-3,0.69
vile,-3,0.00
violence,-3,0.50
violent,-3,0.00
vision,1,0.81
vulnerable,-2,0.00
want,1,0.99
war,-2,0.91
warned,-2,0.00
weakness,-2,0.00
wealth,3,0.50
weep,-2,0.00
win,4,0.50
wonderful,4,0.69
worry,-3,0.00
worst,-3,0.00
worthy,2,0.00
yearning,1,0.50
yes,1,0.00
